S1,S2,S3,S4,S5,S6,S9,S10,S11,S12,S13,S14
5.54527,18.75354,6.41082,3.80249,5.86414,2.79289,5.743624671,11.015853,4.123564905,4.212991135,4.888451443,3.268182784
6.69224,24.02211,6.74074,3.88994,7.64628,2.20349,5.891391593,12.22929752,4.27310593,5.89377109,5.82787792,3.51837309
4.90646,15.88629534,3.72472,2.86748,6.2295,2.265552761,3.951982664,12.24267406,4.28944317,5.337616759,5.619456124,2.776300877
3.4991,12.08746,4.70289,2.01861,3.87163,0.86861,2.82028779,7.429396103,2.554451122,3.22028114,3.188210958,1.949870798
3.86011,10.69471839,2.673,2.4382,2.99119,3.5189,2.943549234,7.429396103,2.554451122,3.22028114,3.237643894,1.949870798
5.48614,8.86,5.0966,3.78,3.7026,1.9788,4.631513811,9.037211333,2.688054812,3.646577856,4.304176855,2.123035887
6.26486,11.18,3.6621,2.63,4.2471,2.2698,5.234661363,10.99183396,4.126605172,3.982533362,4.640587346,2.735157013
2.85288,6.83842369,1.098486803,5.15358,3.04673,4.50578,5.274750085,7.06797117,2.744146589,2.668314189,3.075456357,2.463929005
4.11958,12.87887717,1.537881524,5.68413,2.34113,1.80827,4.847023176,9.164212111,2.482608081,4.724557155,3.43491355,3.014660889
4.31533,13.9587539,0.20727,9.28061,2.71914,3.77858,4.219195706,11.36296523,3.250341152,5.252552641,3.834305837,4.027442471
5.55532,17.72618738,2.196973606,12.56207,3.52786,8.52264,5.345775657,16.05435373,3.343325533,8.085983855,5.732131922,4.911309001
8.41636,24.77963046,4.28338,19.55867,5.08957,18.46514,8.064919776,22.36450945,6.402196599,16.77987639,7.236426751,9.659473621
14.52206,35.37433211,11.38537,12.93217,6.47492,26.52766,11.61708382,27.09366155,8.291257566,19.61334666,8.770536869,17.06275657
17.06465,40.08394763,10.78689,11.80335,5.71247,36.61615,17.65455389,30.29177077,11.23191966,19.61334666,9.537035885,19.13867245
17.0804,31.17557,3.907,12.15,4.45,45.37,18.27987825,30.29177077,10.13275539,20.71828747,8.170250396,21.10149485
